#address type crate	slot	channel	name	number theta phi 	offset	gain  
0x00000200 100 0	2	0	name       0                0	1.0   
0x00000201 100 0	2	1	name       1                0.0769463 0.15141  
0x00000202 100 0	2	2	name       2                0.20652 0.148967  
0x00000203 100 0	2	3	name       3                -0.0726793 0.148143  
0x00000204 100 0	2	4	name       4                0	1.0   
0x00000205 100 0	2	5	name       5                0	1.0   
0x00000206 100 0	2	6	name       6                0	1.0   
0x00000207 100 0	2	7	name       7                0	1.0   
0x00000208 100 0	2	8	name       8                0	1.0   
0x00000209 100 0	2	9	name	     9                0	1.0   
0x0000020a 100 0	2	10	name    10                0.43149 0.151985  
0x0000020b 100 0	2	11	name    11                0.0126986 0.153183
0x0000020c 100 0	2	12	name    12                0.00282943 0.153059
0x0000020d 100 0	2	13	name    13                0.0695116 0.154868
0x0000020e 100 0	2	14	name    14                0	1.0   
0x0000020f 100 0	2	15	name    15                0	1.0   

0x00000300 100 0	3	0	name      16                0.0404161 0.377065   
0x00000301 100 0	3	1	name      17                0	1.0   
0x00000302 100 0	3	2	name      18                -0.228608 0.360128
0x00000303 100 0	3	3	name      19                0.0677496 0.184367
0x00000304 100 0	3	4	name      20                0	1.0   
0x00000305 100 0	3	5	name      21                0.0734731 0.131421  
0x00000306 100 0	3	6	name      22                -0.0886587 0.129711
0x00000307 100 0	3	7	name      23                0.18117 0.147172
0x00000308 100 0	3	8	name      24                0	1.0   
0x00000309 100 0	3	9	name      25                0	1.0   
0x0000030a 100 0	3	10	name    26                0	1.0   
0x0000030b 100 0	3	11	name    27                0	1.0   
0x0000030c 100 0	3	12	name    28                0	1.0   
0x0000030d 100 0	3	13	name    29                0	1.0   
0x0000030e 100 0	3	14	name    30                0	1.0   
0x0000030f 100 0	3	15	name    31                0	1.0   

0x00000400 100 0	4	0	name      32                0	1.0   
0x00000401 100 0	4	1	name      33                0.0951347 0.15253 
0x00000402 100 0	4	2	name      34                -0.052563 0.151875
0x00000403 100 0	4	3	name      35                0	1.0   
0x00000404 100 0	4	4	name      36                0	1.0   
0x00000405 100 0	4	5	name      37                -0.0671783 0.0902049 
0x00000406 100 0	4	6	name      38                0.122214 0.156275
0x00000407 100 0	4	7	name      39                0	1.0   
0x00000408 100 0	4	8	name      40                0.390996 0.090466  
0x00000409 100 0	4	9	name      41                0	1.0   
0x0000040a 100 0	4	10	name    42                0.107867 0.150331 
0x0000040b 100 0	4	11	name    43                0.179715 0.153459
