#address type crate	slot	channel	name	number theta phi 	offset	gain  
0x00000200 100 0	2	0	name       0       0	0.976000	         
0x00000201 100 0	2	1	name       1       0	0.989000	          
0x00000202 100 0	2	2	name       2       0	1.014000	         
0x00000203 100 0	2	3	name       3       0	1.008000	     
0x00000204 100 0	2	4	name       4       0	0.997000	     
0x00000205 100 0	2	5	name       5       0	1.002000	     
0x00000206 100 0	2	6	name       6       0	0.951000	     
0x00000207 100 0	2	7	name       7       0	0.983000	     
0x00000208 100 0	2	8	name       8       0	0.991000	     
0x00000209 100 0	2	9	name	     9     0	0.992000	     
0x0000020a 100 0	2	10	name    10         0	0.993000	     
0x0000020b 100 0	2	11	name    11         0	0.963000	     
0x0000020c 100 0	2	12	name    12         0	0.964000	     
0x0000020d 100 0	2	13	name    13         0	0.972000	     
0x0000020e 100 0	2	14	name    14         0	0.969000	     
0x0000020f 100 0	2	15	name    15         0	0.949000	     
                                                           			
0x00000300 100 0	3	0	name      16       0	0.807000	     
0x00000301 100 0	3	1	name      17       0	0.991000	     
0x00000302 100 0	3	2	name      18       0	0.988000	     
0x00000303 100 0	3	3	name      19       0	0.968000	     
0x00000304 100 0	3	4	name      20       0	0.975000	     
0x00000305 100 0	3	5	name      21       0	0.962000	     
0x00000306 100 0	3	6	name      22       0	0.959000	     
0x00000307 100 0	3	7	name      23       0	0.970000	     
0x00000308 100 0	3	8	name      24       0	0.979000	     
0x00000309 100 0	3	9	name      25       0	0.997000	     
0x0000030a 100 0	3	10	name    26         0	1.025000	     
0x0000030b 100 0	3	11	name    27         0	0.991000	     
0x0000030c 100 0	3	12	name    28         0	1.019000	     
0x0000030d 100 0	3	13	name    29         0	0.961000	     
0x0000030e 100 0	3	14	name    30         0	0.987000	     
0x0000030f 100 0	3	15	name    31         0	0.954000	     
                                                           			
0x00000400 100 0	4	0	name      32       0	1.034000	     
0x00000401 100 0	4	1	name      33       0	1.099000	     
0x00000402 100 0	4	2	name      34       0	1.071000	     
0x00000403 100 0	4	3	name      35       0	1.049000	     
0x00000404 100 0	4	4	name      36       0	1.049000	     
0x00000405 100 0	4	5	name      37       0	1.058000	     
0x00000406 100 0	4	6	name      38       0	1.075000	     
0x00000407 100 0	4	7	name      39       0	1.073000	     
0x00000408 100 0	4	8	name      40       0	1.000000	     
0x00000409 100 0	4	9	name      41       0	1.000000	     
0x0000040a 100 0	4	10	name    42         0	1.000000	     
0x0000040b 100 0	4	11	name    43         0	1.000000	     
0x0000040c 100 0	4	12	name    44         0	1.000000	     
0x0000040d 100 0	4	13	name    45         0	1.000000	     
0x0000040e 100 0	4	14	name    46         0	1.000000	     
0x0000040f 100 0	4	15	name    47         0	1.000000	     

0x00000500 100 0	5	0	name      48        0	1.000000    
0x00000501 100 0	5	1	name      49        0	1.000000    
0x00000502 100 0	5	2	name      50        0	1.000000    
0x00000503 100 0	5	3	name      51        0	1.000000    
0x00000504 100 0	5	4	name      52        0	1.000000    
0x00000505 100 0	5	5	name      53        0	1.000000    
0x00000506 100 0	5	6	name      54        0	1.000000    
0x00000507 100 0	5	7	name      55        0	1.000000    
0x00000508 100 0	5	8	name      56        0	1.000000    
0x00000509 100 0	5	9	name      57        0	1.000000    
0x0000050a 100 0	5	10	name    58          0	1.000000    
0x0000050b 100 0	5	11	name    59          0	1.000000    
0x0000050c 100 0	5	12	name    60          0	1.000000    
0x0000050d 100 0	5	13	name    61          0	1.000000    
0x0000050e 100 0	5	14	name    62          0	1.000000    
0x0000050f 100 0	5	15	name    63          0	1.000000    
                                                            		
0x00000600 100 0	6	0	name      64        0	1.000000    
0x00000601 100 0	6	1	name      65        0	1.000000    
0x00000602 100 0	6	2	name      66        0	1.000000    
0x00000603 100 0	6	3	name      67        0	1.000000    
0x00000604 100 0	6	4	name      68        0	1.000000    
0x00000605 100 0	6	5	name      69        0	1.000000    
0x00000606 100 0	6	6	name      70        0	1.000000    
0x00000607 100 0	6	7	name      71        0	1.000000    
0x00000608 100 0	6	8	name      72        0	1.000000    
0x00000609 100 0	6	9	name      73        0	1.000000    
0x0000060a 100 0	6	10	name    74          0	1.000000    
0x0000060b 100 0	6	11	name    75          0	1.000000    
0x0000060c 100 0	6	12	name    76          0	1.000000    
0x0000060d 100 0	6	13	name    77          0	1.000000    
0x0000060e 100 0	6	14	name    78          0	1.000000    
0x0000060f 100 0	6	15	name    79          0	1.000000    
                                                            		
0x00000700 100 0	7	0	name      80        0	1.121000    
0x00000701 100 0	7	1	name      81        0	1.045000    
0x00000702 100 0	7	2	name      82        0	1.058000    
0x00000703 100 0	7	3	name      83        0	1.061000    
0x00000704 100 0	7	4	name      84        0	1.063000    
0x00000705 100 0	7	5	name      85        0	1.082000    
0x00000706 100 0	7	6	name      86        0	1.076000    
0x00000707 100 0	7	7	name      87        0	1.068000    
0x00000708 100 0	7	8	name      88        0	1.025000    
0x00000709 100 0	7	9	name	    89      0	1.053000    
0x0000070a 100 0	7	10	name    90          0	1.048000    
0x0000070b 100 0	7	11	name    91          0	1.061000    
0x0000070c 100 0	7	12	name    92          0	1.045000    
0x0000070d 100 0	7	13	name    93          0	1.072000    
0x0000070e 100 0	7	14	name    94          0	1.074000    
0x0000070f 100 0	7	15	name    95          0	1.011000    
                                                            		
0x00000800 100 0	8	0	name      96        0	1.029000    
0x00000801 100 0	8	1	name      97        0	1.056000    
