#address	crate	slot	channel	name	number	strip	offset	gain	quad	time
0x00000902	0	9	2	name	114	35	0	1.153	0	0
0x00000903	0	9	3	name	115	36	0	1.182	0	0
0x00000904	0	9	4	name	116	37	0	1.209	0	0
0x00000905	0	9	5	name	117	38	0	1.16	0	0
0x00000906	0	9	6	name	118	39	0	1.194	0	0
0x00000907	0	9	7	name	119	40	0	1.19	0	0
0x00000908	0	9	8	name	120	40	0	1	0	0
0x00000909	0	9	9	name	121	39	0	1	0	0
0x0000090a	0	9	10	name	122	38	0	1	0	0
0x0000090b	0	9	11	name	123	37	0	1	0	0
0x0000090c	0	9	12	name	124	36	0	1	0	0
0x0000090d	0	9	13	name	125	35	0	1	0	0
0x0000090e	0	9	14	name	126	34	0	1	0	0
0x0000090f	0	9	15	name	127	33	0	1	0	0
0x00000a00	0	10	0	name	128	32	0	1	0	0
0x00000a01	0	10	1	name	129	31	0	1	0	0
0x00000a02	0	10	2	name	130	30	0	1	0	0
0x00000a03	0	10	3	name	131	29	0	1	0	0
0x00000a04	0	10	4	name	132	28	0	1	0	0
0x00000a05	0	10	5	name	133	27	0	1	0	0
0x00000a06	0	10	6	name	134	26	0	1	0	0
0x00000a07	0	10	7	name	135	25	0	1	0	0
0x00000a08	0	10	8	name	136	24	0	1	0	0
0x00000a09	0	10	9	name	137	23	0	1	0	0
0x00000a0a	0	10	10	name	138	22	0	1	0	0
0x00000a0b	0	10	11	name	139	21	0	1	0	0
0x00000a0c	0	10	12	name	140	20	0	1	0	0
0x00000a0d	0	10	13	name	141	19	0	1	0	0
0x00000a0e	0	10	14	name	142	18	0	1	0	0
0x00000a0f	0	10	15	name	143	17	0	1	0	0
0x00000b00	0	11	0	name	144	16	0	1	0	0
0x00000b01	0	11	1	name	145	15	0	1	0	0
0x00000b02	0	11	2	name	146	14	0	1	0	0
0x00000b03	0	11	3	name	147	13	0	1	0	0
0x00000b04	0	11	4	name	148	12	0	1	0	0
0x00000b05	0	11	5	name	149	11	0	1	0	0
0x00000b06	0	11	6	name	150	10	0	1	0	0
0x00000b07	0	11	7	name   151	9	0	1	0	0
0x00000b08	0	11	8	name   152	8	0	1	0	0
0x00000b09	0	11	9	name   153	7	0	1	0	0
0x00000b0a	0	11	10	name   154	6	0	1	0	0
0x00000b0b	0	11	11	name   155	5	0	1	0	0
0x00000b0c	0	11	12	name   156	4	0	1	0	0
0x00000b0d	0	11	13	name   157	3	0	1	0	0
0x00000b0e	0	11	14	name   158	2	0	1	0	0
0x00000b0f	0	11	15	name   159	1	0	1	0	0
0x00000c00	0	12	0	name   160	1	0	1	0	0
0x00000c01	0	12	1	name   161	2	0	1	0	0
0x00000c02	0	12	2	name   162	3	0	1	0	0
0x00000c03	0	12	3	name   163	4	0	1	0	0
0x00000c04	0	12	4	name   164	5	0	1	0	0
0x00000c05	0	12	5	name   165	6	0	1	0	0
0x00000c06	0	12	6	name   166	7	0	1	0	0
0x00000c07	0	12	7	name   167	8	0	1	0	0
0x00000c08	0	12	8	name   168	9	0	1	0	0
0x00000c09	0	12	9	name   169	10	0	1	0	0
0x00000c0a	0	12	10	name   170	11	0	1	0	0
0x00000c0b	0	12	11	name   171	12	0	1	0	0
0x00000c0c	0	12	12	name   172	13	0	1	0	0
0x00000c0d	0	12	13	name   173	14	0	1	0	0
0x00000c0e	0	12	14	name   174	15	0	1	0	0
0x00000c0f	0	12	15	name   175	16	0	1	0	0
0x00000d00	0	13	0	name   176	0	0	1	0	0
0x00000d01	0	13	1	name   177	0	0	1	0	0
0x00000d02	0	13	2	name   178	0	0	1	0	0
0x00000d03	0	13	3	name   179	0	0	1	0	0
0x00000d04	0	13	4	name   180	0	0	1	0	0
0x00000d05	0	13	5	name   181	0	0	1	0	0
0x00000d06	0	13	6	name   182	0	0	1	0	0
0x00000d07	0	13	7	name   183	0	0	1	0	0
0x00000d08	0	13	8	name   184	0	0	1	0	0
0x00000d09	0	13	9	name   185	0	0	1	0	0
0x00000d0a	0	13	10	name   186	0	0	1	0	0
0x00000d0b	0	13	11	name   187	0	0	1	0	0
0x00000d0c	0	13	12	name   188	0	0	1	0	0
0x00000d0d	0	13	13	name   189	0	0	1	0	0
0x00000d0e	0	13	14	name   190	0	0	1	0	0
0x00000d0f	0	13	15	name   191	0	0	1	0	0
0x00010200	1	2	0	name   192	1	1.713794738	0.122779436	4.14292e-07	0
0x00010201	1	2	1	name   193	2	0.111142806	0.143431213	9.64292e-08	0
0x00010202	1	2	2	name   194	3	2.111029916	0.117776427	1.27694e-07	0
0x00010203	1	2	3	name   195	4	2.27795354	0.143292609	1.375e-07	0
0x00010204	1	2	4	name   196	5	1.687334558	0.141516351	-4.03723e-08	0
0x00010205	1	2	5	name   197	6	1.644102077	0.131076481	3.83452e-07	0
0x00010206	1	2	6	name   198	7	1.606259623	0.126787281	3.58382e-07	0
0x00010207	1	2	7	name   199	8	1.673234793	0.145617772	3.31037e-07	0
0x00010208	1	2	8	name   200	9	3.509499803	0.105466463	2.5253e-07	0
0x00010209	1	2	9	name   201	10	1.12112622	0.201297656	7.91182e-08	0
0x0001020a	1	2	10	name   202	11	3.555640533	0.102722927	2.20762e-07	0
0x0001020b	1	2	11	name   203	12	3.588390044	0.151066916	3.72087e-07	0
0x0001020c	1	2	12	name   204	13	2.913974912	0.116959416	1.83844e-07	0
0x0001020d	1	2	13	name   205	14	2.524148677	0.113854815	1.35386e-07	0
0x0001020e	1	2	14	name   206	15	3.206951928	0.103072656	2.29623e-07	0
0x0001020f	1	2	15	name   207	16	0	0	0	0
0x00010300	1	3	0	name   208	1	0.555861836	0.367178189	0	0
0x00010301	1	3	1	name   209	1	0.153308672	0.3617663	0	270.862
0x00010302	1	3	2	name   210	1	0.156281672	0.378365304	0	261.006
0x00010303	1	3	3	name   211	1	0.148665018	0.375628915	0	259.627
0x00010304	1	3	4	name   212	2	-0.107583508	0.166094977	0	277.348
0x00010305	1	3	5	name   213	2	-0.099077427	0.149563295	0	247.146
0x00010306	1	3	6	name   214	2	-0.249664468	0.135874524	0	259.187
0x00010307	1	3	7	name   215	2	0	0	0	0
0x00010308	1	3	8	name   216	3	-0.192112094	0.165699679	0	258.463
0x00010309	1	3	9	name   217	3	0	0	0	0
0x0001030a	1	3	10	name   218	3	-0.09375608	0.162374595	0	256.094
0x0001030b	1	3	11	name   219	3	-0.278318466	0.157914552	0	252.605
0x0001030c	1	3	12	name   220	4	-0.365482794	0.17314939	0	261.831
0x0001030d	1	3	13	name   221	4	-0.169188543	0.171687667	0	271.846
0x0001030e	1	3	14	name   222	4	-0.154118702	0.169719212	0	281.564
0x0001030f	1	3	15	name   223	4	-0.041728738	0.167723809	0	286.238
0x00010400	1	4	0	name   224	5	0.088997284	0.174736204	0	263.248
0x00010401	1	4	1	name   225	5	-0.224861648	0.172040957	0	260.676
0x00010402	1	4	2	name   226	5	-0.157893324	0.172473901	0	268.511
0x00010403	1	4	3	name   227	5	0.137371358	0.172815466	0	274.771
0x00010404	1	4	4	name   228	6	-0.408033442	0.162891294	0	255.025
0x00010405	1	4	5	name   229	6	-0.77329023	0.16624426	0	256.706
0x00010406	1	4	6	name   230	6	-0.407077942	0.164516443	0	260.721
0x00010407	1	4	7	name   231	6	-0.488456767	0.170426024	0	258.859
0x00010408	1	4	8	name   232	7	0.05506833	0.162409903	0	255.963
0x00010409	1	4	9	name   233	7	0.016417216	0.16525589	0	252.295
0x0001040a	1	4	10	name   234	7	-0.242508722	0.162246941	0	260.983
0x0001040b	1	4	11	name   235	7	-0.128971018	0.169259134	0	249.38
0x0001040c	1	4	12	name   236	8	0.121469908	0.165868923	0	277.509
0x0001040d	1	4	13	name   237	8	-0.177388326	0.167876265	0	274.411
0x0001040e	1	4	14	name   238	8	-0.175926925	0.171233982	0	275.495
0x0001040f	1	4	15	name   239	8	0.1303192	0.164160786	0	277.779
0x00010500	1	5	0	name   240	9	-0.026307458	0.170617948	0	-18.0415
0x00010501	1	5	1	name   241	9	0.069286318	0.164711118	0	285.342
0x00010502	1	5	2	name   242	9	0.204016838	0.173518405	0	277.302
0x00010503	1	5	3	name   243	9	0.370331654	0.169050052	0	283.047
0x00010504	1	5	4	name   244	10	0.074857103	0.16779059	0	252.087
0x00010505	1	5	5	name   245	10	0.121834122	0.171051733	0	269.774
0x00010506	1	5	6	name   246	10	0.008741926	0.163303831	0	280.831
0x00010507	1	5	7	name   247	10	0.050133212	0.161860844	0	254.339
0x00010508	1	5	8	name   248	11	0.114261655	0.139090853	0	271.862
0x00010509	1	5	9	name   249	11	0.157803152	0.163201377	0	302.059
0x0001050a	1	5	10	name   250	11	0.043363408	0.168776648	0	270.56
0x0001050b	1	5	11	name   251	11	0.089988396	0.180489755	0	267.337
0x0001050c	1	5	12	name   252	12	-0.047272868	0.170480455	0	271.516
0x0001050d	1	5	13	name   253	12	0.055047776	0.167591808	0	266.208
0x0001050e	1	5	14	name   254	12	-0.031613074	0.143680161	0	253.076
0x0001050f	1	5	15	name   255	12	-0.036203068	0.16304231	0	263.285
0x00010600	1	6	0	name   256	13	0.230822849	0.364812107	0	265.63
0x00010601	1	6	1	name   257	13	0.036903135	0.405889211	0	248.221
0x00010602	1	6	2	name   258	13	0.09956055	0.392902297	0	247.849
0x00010603	1	6	3	name   259	13	0.322934142	0.387510164	0	250.83
0x00010604	1	6	4	name   260	14	0.103340081	0.164140691	0	305.11
0x00010605	1	6	5	name   261	14	0.186179049	0.181560249	0	282.215
0x00010606	1	6	6	name   262	14	-0.143880443	0.179446246	0	280.109
0x00010607	1	6	7	name   263	14	-0.040689741	0.1807702	0	285.101
0x00010608	1	6	8	name   264	15	-0.037158351	0.164899718	0	244.461
0x00010609	1	6	9	name   265	15	-0.055115217	0.161758688	0	283.382
0x0001060a	1	6	10	name   266	15	-0.196001169	0.164142069	0	264.639
0x0001060b	1	6	11	name   267	15	0	0	0	0
0x0001060c	1	6	12	name   268	16	-0.011897289	0.173506705	0	267.525
0x0001060d	1	6	13	name   269	16	0.20392814	0.175921311	0	267.114
0x0001060e	1	6	14	name   270	16	-0.195807967	0.17530227	0	263.581
0x0001060f	1	6	15	name   271	16	0.251140231	0.168593384	0	261.94
0x00000e00	0	14	0	name   272	1	0	1	0	0
0x00000e01	0	14	1	name   273	2	0	1	0	0
0x00000e02	0	14	2	name   274	3	0	1	0	0
0x00000e03	0	14	3	name   275	4	0	1	0	0
0x00000e04	0	14	4	name   276	5	0	1	0	0
0x00000e05	0	14	5	name   277	6	0	1	0	0
0x00000e06	0	14	6	name   278	7	0	1	0	0
0x00000e07	0	14	7	name   279	8	0	1	0	0
0x00000e08	0	14	8	name   280	9	0	1	0	0
0x00000e09	0	14	9	name   281	10	0	1	0	0
0x00000e0a	0	14	10	name   282	11	0	1	0	0
0x00000e0b	0	14	11	name   283	12	0	1	0	0
0x00000e0c	0	14	12	name   284	13	0	1	0	0
0x00000e0d	0	14	13	name   285	14	0	1	0	0
0x00000e0e	0	14	14	name   286	15	0	1	0	0
0x00000e0f	0	14	15	name   287	16	0	1	0	0
